cellLine,drug,doseID,concentration,viability,study
Saos-2,AZD6244,doses2,0.03125,108.9212601724,GDSC
Saos-2,AZD6244,doses3,0.0625,100.092566580054,GDSC
Saos-2,AZD6244,doses4,0.125,83.6016474238111,GDSC
Saos-2,AZD6244,doses5,0.25,98.8106654746247,GDSC
Saos-2,AZD6244,doses6,0.5,99.3787924754192,GDSC
Saos-2,AZD6244,doses7,1,91.2341754399389,GDSC
Saos-2,AZD6244,doses8,2,79.4349523520754,GDSC
Saos-2,AZD6244,doses9,4,86.8815478952159,GDSC
SBC-5,AZD6244,doses1,0.015625,100.690208589081,GDSC
SBC-5,AZD6244,doses2,0.03125,74.9562196731653,GDSC
SBC-5,AZD6244,doses3,0.0625,109.471897535041,GDSC
SBC-5,AZD6244,doses4,0.125,103.967986054844,GDSC
SBC-5,AZD6244,doses5,0.25,109.745709763361,GDSC
SBC-5,AZD6244,doses6,0.5,111.602550624167,GDSC
SBC-5,AZD6244,doses7,1,118.232836295658,GDSC
SBC-5,AZD6244,doses8,2,112.403988942095,GDSC
SBC-5,AZD6244,doses9,4,99.8707266317249,GDSC
SF126,AZD6244,doses1,0.015625,83.938111610031,GDSC
SF126,AZD6244,doses2,0.03125,104.343328864932,GDSC
SF126,AZD6244,doses3,0.0625,111.900555638901,GDSC
SF126,AZD6244,doses4,0.125,105.921947330843,GDSC
SF126,AZD6244,doses5,0.25,101.08387198141,GDSC
SF126,AZD6244,doses6,0.5,110.241873269934,GDSC
SF126,AZD6244,doses7,1,95.5227037716739,GDSC
SF126,AZD6244,doses8,2,105.19532964462,GDSC
SF126,AZD6244,doses9,4,98.0535287827326,GDSC
SHP-77,AZD6244,doses1,0.015625,82.8015827824275,GDSC
SHP-77,AZD6244,doses2,0.03125,120.00340691894,GDSC
SHP-77,AZD6244,doses3,0.0625,114.711795138457,GDSC
SHP-77,AZD6244,doses4,0.125,94.9071501760793,GDSC
SHP-77,AZD6244,doses5,0.25,97.5959759602502,GDSC
SHP-77,AZD6244,doses6,0.5,84.0671258689759,GDSC
SHP-77,AZD6244,doses7,1,74.1593640908536,GDSC
SHP-77,AZD6244,doses8,2,72.0874864406956,GDSC
SHP-77,AZD6244,doses9,4,110.859289464857,GDSC
SIMA,AZD6244,doses1,0.015625,109.827828035774,GDSC
SIMA,AZD6244,doses2,0.03125,102.795959627877,GDSC
SIMA,AZD6244,doses3,0.0625,112.489270143441,GDSC
SIMA,AZD6244,doses4,0.125,112.038074404276,GDSC
SIMA,AZD6244,doses5,0.25,119.689869915868,GDSC
SIMA,AZD6244,doses6,0.5,112.851990268964,GDSC
SIMA,AZD6244,doses7,1,119.974277167153,GDSC
SIMA,AZD6244,doses8,2,115.801874833268,GDSC
SIMA,AZD6244,doses9,4,112.080668238546,GDSC
SJRH30,AZD6244,doses1,0.015625,109.623245377993,GDSC
SJRH30,AZD6244,doses2,0.03125,81.7008942545176,GDSC
SJRH30,AZD6244,doses3,0.0625,103.249018138114,GDSC
SJRH30,AZD6244,doses4,0.125,98.2331033073049,GDSC
SJRH30,AZD6244,doses5,0.25,93.5180907185764,GDSC
SJRH30,AZD6244,doses6,0.5,118.314176892197,GDSC
SJRH30,AZD6244,doses7,1,107.634172212476,GDSC
SJRH30,AZD6244,doses8,2,84.8992461479669,GDSC
SJRH30,AZD6244,doses9,4,80.6515837441122,GDSC
SK-HEP-1,AZD6244,doses1,0.015625,70.4210226420367,GDSC
SK-HEP-1,AZD6244,doses2,0.03125,62.1496466735134,GDSC
SK-HEP-1,AZD6244,doses3,0.0625,48.7522821623977,GDSC
SK-HEP-1,AZD6244,doses4,0.125,57.5867712362219,GDSC
SK-HEP-1,AZD6244,doses5,0.25,63.6149826016237,GDSC
SK-HEP-1,AZD6244,doses6,0.5,57.1258241298256,GDSC
SK-HEP-1,AZD6244,doses7,1,50.6928621753005,GDSC
SK-HEP-1,AZD6244,doses8,2,56.5262902547415,GDSC
SK-HEP-1,AZD6244,doses9,4,58.8289908153452,GDSC
SK-LU-1,AZD6244,doses1,0.015625,92.8980906307366,GDSC
SK-LU-1,AZD6244,doses2,0.03125,101.301943484759,GDSC
SK-LU-1,AZD6244,doses3,0.0625,80.465541794902,GDSC
SK-LU-1,AZD6244,doses4,0.125,82.7410412107312,GDSC
SK-LU-1,AZD6244,doses5,0.25,53.4555204198652,GDSC
SK-LU-1,AZD6244,doses6,0.5,68.9905481837851,GDSC
SK-LU-1,AZD6244,doses7,1,31.9871322816945,GDSC
SK-LU-1,AZD6244,doses8,2,60.0226082519291,GDSC
SK-LU-1,AZD6244,doses9,4,58.7986785737899,GDSC
SK-MEL-2,AZD6244,doses1,0.015625,104.708488729967,GDSC
SK-MEL-2,AZD6244,doses2,0.03125,96.9347288225591,GDSC
SK-MEL-2,AZD6244,doses3,0.0625,103.996867729639,GDSC
SK-MEL-2,AZD6244,doses4,0.125,104.84763672578,GDSC
SK-MEL-2,AZD6244,doses5,0.25,99.8428463111467,GDSC
SK-MEL-2,AZD6244,doses6,0.5,94.2931856194292,GDSC
SK-MEL-2,AZD6244,doses7,1,100.019050023236,GDSC
SK-MEL-2,AZD6244,doses8,2,91.5189224529012,GDSC
SK-MEL-2,AZD6244,doses9,4,95.4264099222892,GDSC
SK-MEL-30,AZD6244,doses1,0.015625,102.938393476639,GDSC
SK-MEL-30,AZD6244,doses2,0.03125,74.2486678169528,GDSC
SK-MEL-30,AZD6244,doses3,0.0625,74.2365372113777,GDSC
SK-MEL-30,AZD6244,doses4,0.125,60.012012034643,GDSC
SK-MEL-30,AZD6244,doses5,0.25,69.2071468884926,GDSC
SK-MEL-30,AZD6244,doses6,0.5,39.8290420617283,GDSC
SK-MEL-30,AZD6244,doses7,1,37.6807577610961,GDSC
SK-MEL-30,AZD6244,doses8,2,60.595742509874,GDSC
SK-MEL-30,AZD6244,doses9,4,29.8970961704352,GDSC
SK-MEL-5,AZD6244,doses1,0.015625,112.702576865236,GDSC
SK-MEL-5,AZD6244,doses2,0.03125,97.4096819481065,GDSC
SK-MEL-5,AZD6244,doses3,0.0625,153.671485149401,GDSC
SK-MEL-5,AZD6244,doses4,0.125,97.0907680824922,GDSC
SK-MEL-5,AZD6244,doses5,0.25,86.00915144391,GDSC
SK-MEL-5,AZD6244,doses6,0.5,83.7227813153212,GDSC
SK-MEL-5,AZD6244,doses7,1,91.4027157146856,GDSC
SK-MEL-5,AZD6244,doses8,2,87.3303097494537,GDSC
SK-MEL-5,AZD6244,doses9,4,87.3100206029693,GDSC
SK-MM-2,AZD6244,doses1,0.015625,112.40978196575,GDSC
SK-MM-2,AZD6244,doses2,0.03125,109.836656558621,GDSC
SK-MM-2,AZD6244,doses3,0.0625,108.150722542758,GDSC
SK-MM-2,AZD6244,doses4,0.125,109.087297347318,GDSC
SK-MM-2,AZD6244,doses5,0.25,111.343359056701,GDSC
SK-MM-2,AZD6244,doses6,0.5,109.966747305056,GDSC
SK-MM-2,AZD6244,doses7,1,111.883433811997,GDSC
SK-MM-2,AZD6244,doses8,2,108.205189882548,GDSC
SK-MM-2,AZD6244,doses9,4,113.54454902305,GDSC
SK-OV-3,AZD6244,doses1,0.015625,92.873409391114,GDSC
SK-OV-3,AZD6244,doses2,0.03125,85.0592392739827,GDSC
SK-OV-3,AZD6244,doses3,0.0625,102.181543059791,GDSC
SK-OV-3,AZD6244,doses4,0.125,113.307814706252,GDSC
SK-OV-3,AZD6244,doses5,0.25,109.635165371165,GDSC
SK-OV-3,AZD6244,doses6,0.5,79.7630628165033,GDSC
SK-OV-3,AZD6244,doses7,1,101.896928002521,GDSC
SK-OV-3,AZD6244,doses8,2,110.366880947504,GDSC
SK-OV-3,AZD6244,doses9,4,111.564547480474,GDSC
SNG-M,AZD6244,doses1,0.015625,91.0800656849206,GDSC
SNG-M,AZD6244,doses2,0.03125,116.796975062421,GDSC
SNG-M,AZD6244,doses3,0.0625,105.464632646892,GDSC
SNG-M,AZD6244,doses4,0.125,97.0673873020033,GDSC
SNG-M,AZD6244,doses5,0.25,100.3562853615,GDSC
SNG-M,AZD6244,doses6,0.5,79.0791637836136,GDSC
SNG-M,AZD6244,doses7,1,66.7755961926208,GDSC
SNG-M,AZD6244,doses8,2,108.673718178629,GDSC
SNG-M,AZD6244,doses9,4,87.3813942145028,GDSC
NCI-SNU-1,AZD6244,doses1,0.015625,104.292166446548,GDSC
NCI-SNU-1,AZD6244,doses2,0.03125,99.8873292324619,GDSC
NCI-SNU-1,AZD6244,doses3,0.0625,98.1878314296507,GDSC
NCI-SNU-1,AZD6244,doses4,0.125,90.2321501943107,GDSC
NCI-SNU-1,AZD6244,doses5,0.25,100.728951669653,GDSC
NCI-SNU-1,AZD6244,doses6,0.5,112.929185317875,GDSC
NCI-SNU-1,AZD6244,doses7,1,98.8315152519223,GDSC
NCI-SNU-1,AZD6244,doses8,2,88.9513463578768,GDSC
NCI-SNU-1,AZD6244,doses9,4,97.4077430623186,GDSC
NCI-SNU-16,AZD6244,doses1,0.015625,110.654395499585,GDSC
NCI-SNU-16,AZD6244,doses2,0.03125,109.23385849329,GDSC
NCI-SNU-16,AZD6244,doses3,0.0625,101.186158033918,GDSC
NCI-SNU-16,AZD6244,doses4,0.125,91.8346551315047,GDSC
NCI-SNU-16,AZD6244,doses5,0.25,100.44734311657,GDSC
NCI-SNU-16,AZD6244,doses6,0.5,88.7491804618719,GDSC
NCI-SNU-16,AZD6244,doses7,1,101.491377873409,GDSC
NCI-SNU-16,AZD6244,doses8,2,92.331685198689,GDSC
NCI-SNU-16,AZD6244,doses9,4,95.4799994438065,GDSC
SNU-449,AZD6244,doses1,0.015625,109.896979643088,GDSC
SNU-449,AZD6244,doses2,0.03125,107.124461518213,GDSC
SNU-449,AZD6244,doses3,0.0625,110.001598777587,GDSC
SNU-449,AZD6244,doses4,0.125,105.719544266183,GDSC
SNU-449,AZD6244,doses5,0.25,97.272493170935,GDSC
SNU-449,AZD6244,doses6,0.5,103.904146843125,GDSC
SNU-449,AZD6244,doses7,1,106.541615214762,GDSC
SNU-449,AZD6244,doses8,2,108.692637929174,GDSC
SNU-449,AZD6244,doses9,4,103.203354126895,GDSC
SNU-C2B,AZD6244,doses1,0.015625,86.3813143509561,GDSC
SNU-C2B,AZD6244,doses2,0.03125,95.0030090604264,GDSC
SNU-C2B,AZD6244,doses3,0.0625,89.8294437725753,GDSC
SNU-C2B,AZD6244,doses4,0.125,90.7013680349555,GDSC
SNU-C2B,AZD6244,doses5,0.25,88.7410075396953,GDSC
SNU-C2B,AZD6244,doses6,0.5,83.5533389389287,GDSC
SNU-C2B,AZD6244,doses7,1,75.5950222814116,GDSC
SNU-C2B,AZD6244,doses8,2,67.1280722553202,GDSC
SNU-C2B,AZD6244,doses9,4,71.7637528589203,GDSC
SUP-T1,AZD6244,doses1,0.015625,94.9837957520816,GDSC
SUP-T1,AZD6244,doses2,0.03125,93.9526796297916,GDSC
SUP-T1,AZD6244,doses3,0.0625,89.7713870958991,GDSC
SUP-T1,AZD6244,doses4,0.125,90.6195490821976,GDSC
SUP-T1,AZD6244,doses5,0.25,79.8695089136265,GDSC
SUP-T1,AZD6244,doses6,0.5,89.8179786691843,GDSC
SUP-T1,AZD6244,doses7,1,104.199029402111,GDSC
SUP-T1,AZD6244,doses8,2,79.0903519450923,GDSC
SUP-T1,AZD6244,doses9,4,90.8752264453658,GDSC
SW1088,AZD6244,doses1,0.0078125,73.2585483674867,GDSC
SW1088,AZD6244,doses2,0.015625,84.2135019104728,GDSC
SW1088,AZD6244,doses3,0.03125,85.0877126670203,GDSC
SW1088,AZD6244,doses4,0.0625,69.0566127370574,GDSC
SW1088,AZD6244,doses5,0.125,93.7862397855545,GDSC
SW1088,AZD6244,doses6,0.25,111.692599842844,GDSC
SW1088,AZD6244,doses7,0.5,85.3251285346838,GDSC
SW1088,AZD6244,doses8,1,92.5991604472366,GDSC
SW1088,AZD6244,doses9,2,94.1036615483485,GDSC
SW1990,AZD6244,doses1,0.0078125,108.155606428057,GDSC
SW1990,AZD6244,doses2,0.015625,133.131541254656,GDSC
SW1990,AZD6244,doses3,0.03125,134.805971015651,GDSC
SW1990,AZD6244,doses4,0.0625,101.807493597908,GDSC
SW1990,AZD6244,doses5,0.125,65.659214741649,GDSC
SW1990,AZD6244,doses6,0.25,110.24822544005,GDSC
SW1990,AZD6244,doses7,0.5,82.0288147827112,GDSC
SW1990,AZD6244,doses8,1,86.0300495362592,GDSC
SW1990,AZD6244,doses9,2,48.9400084867526,GDSC
SW48,AZD6244,doses1,0.015625,89.0059834072436,GDSC
SW48,AZD6244,doses2,0.03125,106.01058545311,GDSC
SW48,AZD6244,doses3,0.0625,102.999798563769,GDSC
SW48,AZD6244,doses4,0.125,120.079865709418,GDSC
SW48,AZD6244,doses5,0.25,91.6836414895747,GDSC
SW48,AZD6244,doses6,0.5,88.4392435144529,GDSC
SW48,AZD6244,doses7,1,79.5656301479673,GDSC
SW48,AZD6244,doses8,2,98.8456101825019,GDSC
SW48,AZD6244,doses9,4,73.6658227653507,GDSC
SW620,AZD6244,doses1,0.015625,86.0779819102091,GDSC
SW620,AZD6244,doses2,0.03125,74.5705376557867,GDSC
SW620,AZD6244,doses3,0.0625,104.406413810164,GDSC
SW620,AZD6244,doses4,0.125,95.8809345918854,GDSC
SW620,AZD6244,doses5,0.25,106.619947673117,GDSC
SW620,AZD6244,doses6,0.5,104.737419986121,GDSC
SW620,AZD6244,doses7,1,100.844572504983,GDSC
SW620,AZD6244,doses8,2,96.2624085789844,GDSC
SW620,AZD6244,doses9,4,96.0590826081545,GDSC
SW780,AZD6244,doses1,0.015625,89.4969140028168,GDSC
SW780,AZD6244,doses2,0.03125,68.8184200047745,GDSC
SW780,AZD6244,doses3,0.0625,80.6964175840473,GDSC
SW780,AZD6244,doses4,0.125,76.2966575182362,GDSC
SW780,AZD6244,doses5,0.25,49.7002769401208,GDSC
SW780,AZD6244,doses6,0.5,53.1619470931399,GDSC
SW780,AZD6244,doses7,1,39.4204614211998,GDSC
SW780,AZD6244,doses8,2,37.5862619429555,GDSC
SW780,AZD6244,doses9,4,41.3508251834664,GDSC
T-24,AZD6244,doses1,0.015625,72.7948274330781,GDSC
T-24,AZD6244,doses2,0.03125,71.1650709629288,GDSC
T-24,AZD6244,doses3,0.0625,98.4873652237242,GDSC
T-24,AZD6244,doses4,0.125,52.2485958399204,GDSC
T-24,AZD6244,doses5,0.25,92.3889088228502,GDSC
T-24,AZD6244,doses6,0.5,72.2731939534966,GDSC
T-24,AZD6244,doses7,1,52.8736806579391,GDSC
T-24,AZD6244,doses8,2,62.0116169600512,GDSC
T-24,AZD6244,doses9,4,74.3390376041352,GDSC
T47D,AZD6244,doses1,0.015625,95.3664054297986,GDSC
T47D,AZD6244,doses2,0.03125,106.452342675146,GDSC
T47D,AZD6244,doses3,0.0625,80.2605675166558,GDSC
T47D,AZD6244,doses4,0.125,90.3030059779014,GDSC
T47D,AZD6244,doses5,0.25,92.872675290076,GDSC
T47D,AZD6244,doses6,0.5,98.0415622305544,GDSC
T47D,AZD6244,doses7,1,99.3405062075934,GDSC
T47D,AZD6244,doses8,2,93.6419657004993,GDSC
T47D,AZD6244,doses9,4,95.4377646132506,GDSC
T84,AZD6244,doses1,0.015625,96.7141190034493,GDSC
T84,AZD6244,doses2,0.03125,113.942567759606,GDSC
T84,AZD6244,doses3,0.0625,115.663569363243,GDSC
T84,AZD6244,doses4,0.125,106.200825451205,GDSC
T84,AZD6244,doses5,0.25,99.6977619121474,GDSC
T84,AZD6244,doses6,0.5,103.664483209214,GDSC
T84,AZD6244,doses7,1,96.6723381719436,GDSC
T84,AZD6244,doses8,2,87.0412420858967,GDSC
T84,AZD6244,doses9,4,103.558187858472,GDSC
T98G,AZD6244,doses1,0.015625,102.781142644142,GDSC
T98G,AZD6244,doses2,0.03125,97.6418167689271,GDSC
T98G,AZD6244,doses3,0.0625,92.6452326563437,GDSC
T98G,AZD6244,doses4,0.125,81.7232056066105,GDSC
T98G,AZD6244,doses5,0.25,80.0223379175785,GDSC
T98G,AZD6244,doses6,0.5,89.4074013371154,GDSC
T98G,AZD6244,doses7,1,84.9570949294871,GDSC
T98G,AZD6244,doses8,2,73.9589251081175,GDSC
T98G,AZD6244,doses9,4,87.3320439946676,GDSC
TCCSUP,AZD6244,doses1,0.015625,99.3568299133686,GDSC
TCCSUP,AZD6244,doses2,0.03125,92.577903250873,GDSC
TCCSUP,AZD6244,doses3,0.0625,97.0549618495232,GDSC
TCCSUP,AZD6244,doses4,0.125,117.78093183587,GDSC
TCCSUP,AZD6244,doses5,0.25,103.820152394412,GDSC
TCCSUP,AZD6244,doses6,0.5,100.202059016775,GDSC
TCCSUP,AZD6244,doses7,1,99.696569888844,GDSC
TCCSUP,AZD6244,doses8,2,85.8029448001304,GDSC
TCCSUP,AZD6244,doses9,4,94.1084119993309,GDSC
TE-9,AZD6244,doses1,0.015625,81.8767258827635,GDSC
TE-9,AZD6244,doses2,0.03125,105.599272471881,GDSC
TE-9,AZD6244,doses3,0.0625,71.5615352632247,GDSC
TE-9,AZD6244,doses4,0.125,115.336595556945,GDSC
TE-9,AZD6244,doses5,0.25,58.7961480281373,GDSC
TE-9,AZD6244,doses6,0.5,95.0560601706924,GDSC
TE-9,AZD6244,doses7,1,76.0390519210798,GDSC
TE-9,AZD6244,doses8,2,104.831971540343,GDSC
TE-9,AZD6244,doses9,4,138.147693242348,GDSC
U-118-MG,AZD6244,doses1,0.015625,112.120998306527,GDSC
U-118-MG,AZD6244,doses2,0.03125,101.056771902965,GDSC
U-118-MG,AZD6244,doses3,0.0625,107.192592691148,GDSC
U-118-MG,AZD6244,doses4,0.125,103.918127095305,GDSC
U-118-MG,AZD6244,doses5,0.25,96.0317191311621,GDSC
U-118-MG,AZD6244,doses6,0.5,97.758781340364,GDSC
U-118-MG,AZD6244,doses7,1,82.894448682457,GDSC
U-118-MG,AZD6244,doses8,2,88.1162420998157,GDSC
U-118-MG,AZD6244,doses9,4,68.6138948174574,GDSC
U-2-OS,AZD6244,doses1,0.0078125,126.494261461374,GDSC
U-2-OS,AZD6244,doses2,0.015625,124.281448818603,GDSC
U-2-OS,AZD6244,doses3,0.03125,112.407244483165,GDSC
U-2-OS,AZD6244,doses4,0.0625,96.3827055345676,GDSC
U-2-OS,AZD6244,doses5,0.125,93.9042155444813,GDSC
U-2-OS,AZD6244,doses6,0.25,87.6258403368721,GDSC
U-2-OS,AZD6244,doses7,0.5,80.5932560807988,GDSC
U-2-OS,AZD6244,doses8,1,74.5534661225878,GDSC
U-2-OS,AZD6244,doses9,2,88.7995399337289,GDSC
U-87-MG,AZD6244,doses1,0.015625,71.4050610374761,GDSC
U-87-MG,AZD6244,doses2,0.03125,85.2090585228465,GDSC
U-87-MG,AZD6244,doses3,0.0625,85.002691956786,GDSC
U-87-MG,AZD6244,doses4,0.125,74.728918776526,GDSC
U-87-MG,AZD6244,doses5,0.25,96.092701311917,GDSC
U-87-MG,AZD6244,doses6,0.5,77.9799613660935,GDSC
U-87-MG,AZD6244,doses7,1,90.1293798679196,GDSC
U-87-MG,AZD6244,doses8,2,77.0642453391126,GDSC
U-87-MG,AZD6244,doses9,4,77.1102818342471,GDSC
VMRC-RCZ,AZD6244,doses1,0.015625,91.6615188826243,GDSC
VMRC-RCZ,AZD6244,doses2,0.03125,77.7471042815905,GDSC
VMRC-RCZ,AZD6244,doses3,0.0625,67.5558583721545,GDSC
VMRC-RCZ,AZD6244,doses4,0.125,65.4246931199236,GDSC
VMRC-RCZ,AZD6244,doses5,0.25,70.9831872678754,GDSC
VMRC-RCZ,AZD6244,doses6,0.5,70.902701441056,GDSC
VMRC-RCZ,AZD6244,doses7,1,74.8573834182928,GDSC
VMRC-RCZ,AZD6244,doses8,2,85.1222785206099,GDSC
VMRC-RCZ,AZD6244,doses9,4,93.240781322379,GDSC
YKG-1,AZD6244,doses1,0.015625,104.104001598263,GDSC
YKG-1,AZD6244,doses2,0.03125,98.1316274069066,GDSC
YKG-1,AZD6244,doses3,0.0625,104.173433841768,GDSC
YKG-1,AZD6244,doses4,0.125,95.9290156129344,GDSC
YKG-1,AZD6244,doses5,0.25,87.7232776304823,GDSC
YKG-1,AZD6244,doses6,0.5,71.8648571138463,GDSC
YKG-1,AZD6244,doses7,1,80.3653818187247,GDSC
YKG-1,AZD6244,doses8,2,68.5333106754724,GDSC
YKG-1,AZD6244,doses9,4,48.0426303421285,GDSC
ZR-75-30,AZD6244,doses1,0.015625,105.633096713126,GDSC
ZR-75-30,AZD6244,doses2,0.03125,110.889360506648,GDSC
ZR-75-30,AZD6244,doses3,0.0625,127.140869990698,GDSC
ZR-75-30,AZD6244,doses4,0.125,135.755037708731,GDSC
ZR-75-30,AZD6244,doses5,0.25,119.172397273383,GDSC
ZR-75-30,AZD6244,doses6,0.5,128.901724574116,GDSC
ZR-75-30,AZD6244,doses7,1,135.097538790425,GDSC
ZR-75-30,AZD6244,doses8,2,129.243831097908,GDSC
ZR-75-30,AZD6244,doses9,4,134.028559446711,GDSC
8-MG-BA,AZD6244,doses1,0.015625,118.614182937318,GDSC
8-MG-BA,AZD6244,doses2,0.03125,85.9859606318587,GDSC
8-MG-BA,AZD6244,doses3,0.0625,91.4134173703415,GDSC
8-MG-BA,AZD6244,doses4,0.125,82.7982288539602,GDSC
8-MG-BA,AZD6244,doses5,0.25,77.0332303834691,GDSC
8-MG-BA,AZD6244,doses6,0.5,96.1656282870722,GDSC
8-MG-BA,AZD6244,doses7,1,95.1752461008044,GDSC
8-MG-BA,AZD6244,doses8,2,97.6203535967376,GDSC
8-MG-BA,AZD6244,doses9,4,84.555101909305,GDSC
A673,AZD6244,doses1,0.015625,103.921787497433,GDSC
A673,AZD6244,doses2,0.03125,96.5637943485715,GDSC
A673,AZD6244,doses3,0.0625,73.7058182063501,GDSC
A673,AZD6244,doses4,0.125,49.5997614184552,GDSC
A673,AZD6244,doses5,0.25,72.4608945943503,GDSC
A673,AZD6244,doses6,0.5,85.601521088891,GDSC
A673,AZD6244,doses7,1,97.4235598523786,GDSC
A673,AZD6244,doses8,2,110.676787214615,GDSC
A673,AZD6244,doses9,4,93.3762426826818,GDSC
BxPC-3,AZD6244,doses1,0.015625,127.576561455518,GDSC
BxPC-3,AZD6244,doses2,0.03125,98.2456921124539,GDSC
BxPC-3,AZD6244,doses3,0.0625,90.4428245187473,GDSC
BxPC-3,AZD6244,doses4,0.125,99.3153797742864,GDSC
BxPC-3,AZD6244,doses5,0.25,98.9188044324324,GDSC
BxPC-3,AZD6244,doses6,0.5,84.297122061699,GDSC
BxPC-3,AZD6244,doses7,1,68.3078998275425,GDSC
BxPC-3,AZD6244,doses8,2,63.9794136587917,GDSC
BxPC-3,AZD6244,doses9,4,53.7789573764506,GDSC
C3A,AZD6244,doses1,0.015625,99.5591097840747,GDSC
C3A,AZD6244,doses2,0.03125,123.00302179263,GDSC
C3A,AZD6244,doses3,0.0625,98.1626047714062,GDSC
C3A,AZD6244,doses4,0.125,120.294251228667,GDSC
C3A,AZD6244,doses5,0.25,110.835750129473,GDSC
C3A,AZD6244,doses6,0.5,103.747750968746,GDSC
C3A,AZD6244,doses7,1,88.8549307576173,GDSC
C3A,AZD6244,doses8,2,103.491624556624,GDSC
C3A,AZD6244,doses9,4,70.5082926301683,GDSC
CAL-12T,AZD6244,doses1,0.015625,92.7261941514432,GDSC
CAL-12T,AZD6244,doses2,0.03125,95.9228062784583,GDSC
CAL-12T,AZD6244,doses3,0.0625,90.3887115322947,GDSC
CAL-12T,AZD6244,doses4,0.125,89.9613088719487,GDSC
CAL-12T,AZD6244,doses5,0.25,72.0008839256326,GDSC
CAL-12T,AZD6244,doses6,0.5,70.1824767349335,GDSC
CAL-12T,AZD6244,doses7,1,76.5571934678561,GDSC
CAL-12T,AZD6244,doses8,2,70.8435584701996,GDSC
CAL-12T,AZD6244,doses9,4,64.2790964040518,GDSC
CAL-27,AZD6244,doses1,0.015625,90.3805689128456,GDSC
CAL-27,AZD6244,doses2,0.03125,100.035469629472,GDSC
CAL-27,AZD6244,doses3,0.0625,100.959616666064,GDSC
CAL-27,AZD6244,doses4,0.125,124.441904664242,GDSC
CAL-27,AZD6244,doses5,0.25,98.5801245732713,GDSC
CAL-27,AZD6244,doses6,0.5,145.414351510011,GDSC
CAL-27,AZD6244,doses7,1,98.3052358156717,GDSC
CAL-27,AZD6244,doses8,2,111.163124535962,GDSC
CAL-27,AZD6244,doses9,4,110.250242232917,GDSC
Calu-6,AZD6244,doses1,0.015625,107.77677123184,GDSC
Calu-6,AZD6244,doses2,0.03125,95.1207524530737,GDSC
Calu-6,AZD6244,doses3,0.0625,75.472603570271,GDSC
Calu-6,AZD6244,doses4,0.125,92.0555799239059,GDSC
Calu-6,AZD6244,doses5,0.25,84.3498147797455,GDSC
Calu-6,AZD6244,doses6,0.5,72.8514880869955,GDSC
Calu-6,AZD6244,doses7,1,60.4092454435967,GDSC
Calu-6,AZD6244,doses8,2,63.8611012764441,GDSC
Calu-6,AZD6244,doses9,4,57.7158233262998,GDSC
CHP-212,AZD6244,doses1,0.015625,108.796345263948,GDSC
CHP-212,AZD6244,doses2,0.03125,95.5018543958677,GDSC
CHP-212,AZD6244,doses3,0.0625,105.223672742872,GDSC
CHP-212,AZD6244,doses4,0.125,92.792763375648,GDSC
CHP-212,AZD6244,doses5,0.25,81.8001122758717,GDSC
CHP-212,AZD6244,doses6,0.5,81.940387707087,GDSC
CHP-212,AZD6244,doses7,1,70.9104922620501,GDSC
CHP-212,AZD6244,doses8,2,53.0951644197162,GDSC
CHP-212,AZD6244,doses9,4,40.3593387305451,GDSC
COLO-741,AZD6244,doses1,0.0078125,123.424262641184,GDSC
COLO-741,AZD6244,doses2,0.015625,80.88245781474,GDSC
COLO-741,AZD6244,doses3,0.03125,99.7641212125387,GDSC
COLO-741,AZD6244,doses4,0.0625,106.310138438957,GDSC
COLO-741,AZD6244,doses5,0.125,65.7029496974109,GDSC
COLO-741,AZD6244,doses6,0.25,66.7342446336433,GDSC
COLO-741,AZD6244,doses7,0.5,55.9812866313491,GDSC
COLO-741,AZD6244,doses8,1,31.7231442324033,GDSC
COLO-741,AZD6244,doses9,2,25.1676474661648,GDSC
COR-L105,AZD6244,doses1,0.015625,75.0575265202071,GDSC
COR-L105,AZD6244,doses2,0.03125,66.5132353027906,GDSC
COR-L105,AZD6244,doses3,0.0625,84.5905675946608,GDSC
COR-L105,AZD6244,doses4,0.125,61.4475417186231,GDSC
COR-L105,AZD6244,doses5,0.25,72.5071616105458,GDSC
COR-L105,AZD6244,doses6,0.5,67.020123172436,GDSC
COR-L105,AZD6244,doses7,1,71.1716895302861,GDSC
COR-L105,AZD6244,doses8,2,47.6127789927978,GDSC
COR-L105,AZD6244,doses9,4,46.1935839609987,GDSC
ESS-1,AZD6244,doses1,0.015625,118.707003745189,GDSC
ESS-1,AZD6244,doses2,0.03125,104.79834672433,GDSC
ESS-1,AZD6244,doses3,0.0625,104.678593540337,GDSC
ESS-1,AZD6244,doses4,0.125,100.937792200362,GDSC
ESS-1,AZD6244,doses5,0.25,97.708778151977,GDSC
ESS-1,AZD6244,doses6,0.5,95.1253508172982,GDSC
ESS-1,AZD6244,doses7,1,82.8525402977785,GDSC
ESS-1,AZD6244,doses8,2,88.2063179821505,GDSC
ESS-1,AZD6244,doses9,4,99.9642798504889,GDSC
G-402,AZD6244,doses1,0.015625,122.398785302881,GDSC
G-402,AZD6244,doses2,0.03125,2.3215937068465,GDSC
G-402,AZD6244,doses3,0.0625,124.151356793649,GDSC
G-402,AZD6244,doses4,0.125,86.1785073281275,GDSC
G-402,AZD6244,doses5,0.25,118.306181665701,GDSC
G-402,AZD6244,doses6,0.5,113.889832315312,GDSC
